iter	Passed	Remaining
0	135	135093
1	135	67787
2	136	45327
3	136	34095
4	137	27353
5	138	22864
6	138	19653
7	139	17243
8	139	15369
9	140	13873
10	140	12647
11	141	11625
12	141	10759
13	142	10018
14	142	9375
15	143	8812
16	143	8316
17	144	7875
18	144	7479
19	145	7123
20	145	6801
21	146	6508
22	146	6241
23	147	5996
24	147	5771
25	148	5564
26	149	5372
27	149	5193
28	150	5026
29	150	4871
30	151	4726
31	151	4589
32	152	4461
33	152	4340
34	153	4226
35	153	4119
36	154	4017
37	154	3920
38	155	3829
39	155	3741
40	156	3659
41	156	3580
42	157	3504
43	157	3432
44	158	3363
45	159	3297
46	159	3234
47	160	3173
48	160	3115
49	161	3060
50	161	3007
51	162	2957
52	162	2908
53	163	2861
54	163	2815
55	164	2770
56	164	2728
57	165	2686
58	165	2646
59	166	2607
60	166	2570
61	167	2533
62	167	2498
63	168	2464
64	169	2431
65	169	2398
66	170	2367
67	170	2337
68	171	2308
69	171	2279
70	172	2251
71	172	2224
72	173	2198
73	173	2172
74	174	2147
75	174	2123
76	175	2099
77	175	2076
78	176	2054
79	176	2032
80	177	2011
81	177	1990
82	178	1967
83	178	1947
84	179	1927
85	179	1909
86	180	1890
87	180	1872
88	181	1854
89	181	1836
90	182	1819
91	182	1803
92	183	1786
93	183	1770
94	184	1754
95	184	1739
96	185	1724
97	185	1709
98	186	1694
99	186	1680
100	187	1666
101	187	1652
102	188	1639
103	188	1626
104	189	1613
105	189	1601
106	190	1589
107	190	1576
108	191	1564
109	191	1552
110	192	1541
111	192	1529
112	193	1518
113	193	1507
114	194	1496
115	194	1485
116	195	1474
117	195	1464
118	196	1454
119	196	1444
120	197	1434
121	197	1424
122	198	1415
123	198	1405
124	199	1396
125	200	1387
126	200	1377
127	200	1369
128	201	1360
129	202	1351
130	202	1343
131	203	1335
132	203	1326
133	204	1318
134	204	1310
135	205	1302
136	205	1294
137	206	1287
138	206	1279
139	207	1272
140	207	1264
141	207	1256
142	208	1249
143	208	1242
144	209	1235
145	210	1228
146	210	1221
147	211	1214
148	211	1208
149	212	1201
150	212	1194
151	213	1188
152	213	1182
153	214	1175
154	214	1169
155	215	1163
156	215	1157
157	216	1151
158	216	1145
159	217	1139
160	217	1133
161	218	1127
162	218	1122
163	219	1116
164	219	1111
165	220	1105
166	220	1100
167	221	1094
168	221	1089
169	222	1084
170	222	1079
171	223	1074
172	223	1069
173	224	1064
174	224	1059
175	225	1054
176	225	1049
177	226	1044
178	226	1040
179	227	1035
180	227	1030
181	228	1026
182	228	1021
183	229	1016
184	229	1012
185	230	1007
186	230	1003
187	231	999
188	231	994
189	232	990
190	232	986
191	233	982
192	233	978
193	234	974
194	234	970
195	235	965
196	235	961
197	236	957
198	236	953
199	237	949
200	238	946
201	238	942
202	239	938
203	239	934
204	240	930
205	240	927
206	241	923
207	241	919
208	242	915
209	242	912
210	243	908
211	243	905
212	244	901
213	244	898
214	245	894
215	245	891
216	246	888
217	246	885
218	247	881
219	247	878
220	248	875
221	248	871
222	249	868
223	249	865
224	250	862
225	250	859
226	251	856
227	251	853
228	252	849
229	252	846
230	253	843
231	253	840
232	254	837
233	255	834
234	255	831
235	256	828
236	256	825
237	257	822
238	257	819
239	258	817
240	258	814
241	259	811
242	259	808
243	260	805
244	260	803
245	261	800
246	261	797
247	262	794
248	262	792
249	263	789
250	263	786
251	264	784
252	264	781
253	265	778
254	265	776
255	266	773
256	266	770
257	267	768
258	267	765
259	268	763
260	268	760
261	269	758
262	269	756
263	270	754
264	271	751
265	271	749
266	272	747
267	272	744
268	273	742
269	273	739
270	274	737
271	274	735
272	275	732
273	275	730
274	276	728
275	276	726
276	277	723
277	277	721
278	278	719
279	278	717
280	279	715
281	279	712
282	280	710
283	280	708
284	281	706
285	281	703
286	282	701
287	282	699
288	283	697
289	283	695
290	284	693
291	284	690
292	285	688
293	286	686
294	286	684
295	287	682
296	287	680
297	288	678
298	288	676
299	289	674
300	289	672
301	290	670
302	290	669
303	291	667
304	291	665
305	292	663
306	292	661
307	293	659
308	294	657
309	294	655
310	295	653
311	295	651
312	296	649
313	296	647
314	297	646
315	297	644
316	298	642
317	298	640
318	299	638
319	299	636
320	300	634
321	300	633
322	301	631
323	301	629
324	302	627
325	302	625
326	303	624
327	303	622
328	304	620
329	304	618
330	305	617
331	305	615
332	306	613
333	306	611
334	307	610
335	307	608
336	308	606
337	308	604
338	309	603
339	309	601
340	310	599
341	310	598
342	311	596
343	311	594
344	312	593
345	312	591
346	313	589
347	313	588
348	314	586
349	314	584
350	315	583
351	315	581
352	316	580
353	316	578
354	317	576
355	318	575
356	318	573
357	319	572
358	319	570
359	320	569
360	320	567
361	321	565
362	321	564
363	322	562
364	322	561
365	323	559
366	323	558
367	324	556
368	324	555
369	325	553
370	325	552
371	326	550
372	326	549
373	327	547
374	327	546
375	328	544
376	328	543
377	329	541
378	329	540
379	330	538
380	330	537
381	331	535
382	331	534
383	332	533
384	332	531
385	333	530
386	334	529
387	334	527
388	334	526
389	335	524
390	336	523
391	336	522
392	337	520
393	337	519
394	338	517
395	338	516
396	339	514
397	339	513
398	340	512
399	340	510
400	341	509
401	341	508
402	342	506
403	342	505
404	343	504
405	343	502
406	344	501
407	344	500
408	345	498
409	345	497
410	346	496
411	346	494
412	347	493
413	347	492
414	348	490
415	348	489
